Adsorbate,Surface Material,Group,AM1,P1,delta fusion1,Group2, Wigner,surface free energy,EXX+RPA,LDA,LUMO
OH  ,Rh  ,1,1.00794,1,0.117,9,2.81,1.037,1.508,0.999,6.8
OH  ,Pd  ,1,1.00794,1,0.117,10,2.87,0.82,2.007,1.672,6.8
OH  ,Ag  ,1,1.00794,1,0.117,11,3.01,0.542,2.222,2.005,6.8
OH  ,Hf  ,1,1.00794,1,0.117,4,3.3,1.027,-1.32,-1.533,6.8
OH  ,Ta  ,1,1.00794,1,0.117,5,3.07,1.319,-0.723,-1.147,6.8
OH  ,W  ,1,1.00794,1,0.117,6,2.95,1.428,-0.206,-0.657,6.8
OH  ,Re  ,1,1.00794,1,0.117,7,2.87,1.333,0.377,-0.144,6.8
OH  ,Os  ,1,1.00794,1,0.117,8,2.83,1.326,0.832,0.33,6.8
OH  ,Ir  ,1,1.00794,1,0.117,9,2.84,1.237,1.281,0.677,6.8
OH  ,Pt  ,1,1.00794,1,0.117,10,2.9,0.937,2.057,1.524,6.8
OH  ,Au  ,1,1.00794,1,0.117,11,3,0.572,2.633,2.389,6.8
