Adsorbate,Surface Material,LDA,PBE,RPBE,BEEF-vdW,VdW-DF2,MBEEF,MBEEF-vdW,EXX+RPA,MAGNETIC-MOMENT,Work-Function-surface
CH  ,Au  ,5.264,5.394,5.46,5.247,5.173,5.592,5.442,5.076,0,5.1
OH  ,Sc  ,-1.597,-1.307,-1.14,-1.421,-1.651,-1.488,-1.472,-1.31,0,3.5
OH  ,Ti  ,-1.329,-0.959,-0.76,-1.031,-1.192,-1.188,-1.279,-1.085,0,4.33
OH  ,V  ,-0.779,-0.238,0.04,-0.281,-0.464,-0.355,-0.514,-0.256,0,4.3
OH  ,Cr  ,0.013,0.609,0.905,0.618,0.418,0.482,0.272,0.814,0,4.5
OH  ,Mn  ,0.46,1.115,1.439,1.15,0.979,1.143,0.947,1.241,0,4.1
OH  ,Fe  ,0.467,1.17,1.501,1.248,0.92,1.256,1.068,1.527,2.299,4.67
OH  ,Co  ,1.193,1.723,1.995,1.686,nan  ,1.619,1.388,1.686,5.884,5
OH  ,Ni  ,1.52,2.022,2.289,1.998,1.83,2.024,1.845,1.997,3.042,5.04
OH  ,Cu  ,1.782,2.204,2.437,2.128,1.947,2.241,2.117,2.163,0,4.53
OH  ,Y  ,-1.591,-1.366,-1.246,-1.507,-1.695,-1.582,-1.548,-1.428,0,3.1
OH  ,Zr  ,-1.499,-1.174,-1.005,-1.291,-1.442,-1.385,-1.425,-1.339,0,4.05
OH  ,Nb  ,-1.134,-0.7,-0.484,-0.768,-0.909,-0.863,-0.971,-0.804,0,3.95
OH  ,Mo  ,-0.503,-0.001,0.243,0.013,-0.164,-0.121,-0.264,-0.073,0,4.36
OH  ,Ru  ,0.622,1.165,1.432,1.214,1.037,1.211,1.036,1.148,0,4.71
OH  ,Rh  ,0.999,1.511,1.769,1.566,1.376,1.535,1.388,1.508,0,4.98
OH  ,Pd  ,1.672,2.081,2.301,2.1,1.866,2.15,2.033,2.007,0,5.22
OH  ,Ag  ,2.005,2.239,2.383,2.095,1.891,2.266,2.221,2.222,0,4.26
OH  ,Hf  ,-1.533,-1.191,-1.014,-1.313,-1.451,-1.402,-1.447,-1.32,0,3.9
OH  ,Ta  ,-1.147,-0.691,-0.469,-0.742,-0.905,-0.833,-0.952,-0.723,0,4
OH  ,W  ,-0.657,-0.149,0.094,-0.145,-0.285,-0.268,-0.416,-0.206,0,4.32
OH  ,Re  ,-0.144,0.412,0.674,0.416,0.314,0.351,0.188,0.377,0,4.72
OH  ,Os  ,0.33,0.892,1.159,0.987,0.843,0.865,0.701,0.832,0,5.93
OH  ,Ir  ,0.677,1.226,1.488,1.299,1.153,1.206,1.049,1.281,0,5
OH  ,Pt  ,1.524,2.019,2.264,2.052,1.895,2.034,1.892,2.057,0,5.12
OH  ,Au  ,2.389,2.632,2.782,2.492,2.291,2.721,2.652,2.633,0,5.1
